É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 23:52:24

,,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,ëÂêÚ,îBçË,îBçË,îBçË,îBçË,îBçË,îBçË,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,ïxémêÏ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,êÿêŒ,ìÏïî,ìÏïî,ìÏïî,ìÏïî,ìÏïî,ìÏïî,å√ä÷,å√ä÷,å√ä÷,å√ä÷,å√ä÷,å√ä÷,éRíÜ,éRíÜ,éRíÜ,éRíÜ,éRíÜ,éRíÜ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,âÕå˚åŒ,ëÂåé,ëÂåé,ëÂåé,ëÂåé,ëÂåé,ëÂåé,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,è„ñÏå¥,èüè¿,èüè¿,èüè¿,èüè¿,èüè¿,èüè¿,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,ëÂïÏéF,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,â≥èóåŒ,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
2020/5/26,âŒ,17.5,8,1,0.5,8,1,19.2,8,1,0.0,8,1,,0,1,0.0,8,1,19.8,8,1,0.0,8,1,21.2,8,1,0.0,8,1,17.7,8,1,0.0,8,1,15.8,8,1,0.5,8,1,16.3,8,1,3.5,0,8,1,18.6,8,1,3.0,8,1,,0,1,0.0,8,1,19.9,8,1,1.5,8,1,,0,1,,0,1,,0,1,0.5,8,1,21.0,8,1,0.0,0,8,1
2020/5/27,êÖ,18.7,8,1,1.0,8,1,21.6,8,1,2.5,8,1,,0,1,0.0,8,1,21.9,8,1,0.0,8,1,22.5,8,1,0.0,8,1,20.0,8,1,0.0,8,1,16.8,5,1,0.0,8,1,17.7,8,1,0.0,0,8,1,19.8,8,1,0.0,8,1,,0,1,0.0,8,1,21.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.5,8,1,23.6,8,1,0.0,0,8,1
2020/5/28,ñÿ,16.5,8,1,0.0,8,1,19.6,8,1,0.0,8,1,,0,1,0.0,8,1,19.2,8,1,0.0,8,1,20.4,8,1,0.0,8,1,17.4,8,1,0.0,8,1,14.8,8,1,0.0,8,1,15.1,8,1,0,1,8,1,18.3,8,1,0.0,8,1,,0,1,9.0,8,1,19.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,7.0,8,1,21.1,8,1,0,1,8,1
2020/5/29,ã‡,15.6,8,1,0.0,8,1,18.5,8,1,0.0,8,1,,0,1,0.0,8,1,18.9,8,1,0.0,8,1,19.5,8,1,0.0,8,1,17.4,8,1,0.0,8,1,13.4,8,1,2.5,8,1,14.4,8,1,2.0,0,8,1,18.2,8,1,0.0,8,1,,0,1,0.0,8,1,18.4,8,1,1.0,8,1,,0,1,,0,1,,0,1,3.5,8,1,19.9,8,1,0.0,0,8,1
2020/5/30,ìy,16.5,8,1,0.0,8,1,18.9,8,1,0.0,8,1,,0,1,0.0,8,1,19.4,8,1,0.0,8,1,21.0,8,1,0.0,8,1,17.9,8,1,0.0,8,1,14.3,8,1,0.0,8,1,14.6,8,1,7.0,0,8,1,17.7,8,1,6.5,8,1,,0,1,0.0,8,1,18.1,8,1,0.5,8,1,,0,1,,0,1,,0,1,17.5,8,1,20.2,8,1,0,1,8,1
2020/5/31,ì˙,14.6,8,1,0.0,8,1,17.2,8,1,0.0,8,1,,0,1,0.0,8,1,17.7,8,1,0.0,8,1,18.9,8,1,0.0,8,1,15.0,8,1,1.0,8,1,13.1,8,1,1.0,8,1,13.1,8,1,4.0,0,8,1,16.3,8,1,0.5,8,1,,0,1,0.0,8,1,16.7,8,1,0.5,8,1,,0,1,,0,1,,0,1,2.0,8,1,18.6,8,1,0.0,0,8,1
2020/6/1,åé,15.7,8,1,1.5,8,1,18.2,8,1,0.0,8,1,,0,1,0.5,8,1,18.6,8,1,2.5,8,1,19.4,8,1,1.5,8,1,16.9,8,1,0.0,8,1,14.4,8,1,5.5,8,1,15.1,8,1,0.0,0,8,1,17.8,8,1,0.5,8,1,,0,1,0.5,8,1,18.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.5,8,1,19.7,8,1,0.0,0,8,1
2020/6/2,âŒ,19.9,8,1,0.0,8,1,22.3,8,1,1.0,8,1,,0,1,2.5,8,1,21.9,8,1,0.5,8,1,22.5,8,1,0.5,8,1,20.8,8,1,0.5,8,1,18.2,8,1,0.5,8,1,19.5,8,1,0.0,0,8,1,21.6,8,1,0.0,8,1,,0,1,0.0,8,1,23.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,2.0,8,1,23.4,8,1,0.0,0,8,1
2020/6/3,êÖ,19.9,8,1,0.0,8,1,22.4,8,1,0.0,8,1,,0,1,0.0,8,1,22.5,8,1,0.0,8,1,23.2,8,1,0.0,8,1,21.1,8,1,0.0,8,1,18.1,8,1,0.0,8,1,19.0,8,1,0,1,8,1,22.5,8,1,0.0,8,1,,0,1,0.0,8,1,23.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,24.0,8,1,0,1,8,1
2020/6/4,ñÿ,19.9,8,1,0.0,8,1,22.2,8,1,0.0,8,1,,0,1,0.0,8,1,22.5,8,1,0.0,8,1,23.4,8,1,0.0,8,1,20.6,8,1,0.0,8,1,17.5,8,1,0.0,8,1,18.6,8,1,0,1,8,1,21.2,8,1,0.0,8,1,,0,1,0.0,8,1,22.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,23.9,8,1,0,1,8,1
2020/6/5,ã‡,21.2,8,1,0.0,8,1,23.6,8,1,0.0,8,1,,0,1,0.0,8,1,23.8,8,1,0.0,8,1,24.7,8,1,0.0,8,1,22.0,8,1,0.0,8,1,18.8,8,1,0.0,8,1,20.1,8,1,0,1,8,1,23.2,8,1,0.0,8,1,,0,1,0.0,8,1,24.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,25.3,8,1,0,1,8,1
2020/6/6,ìy,20.0,8,1,9.5,8,1,22.2,8,1,24.0,8,1,,0,1,2.0,8,1,22.7,8,1,0.5,8,1,23.8,8,1,0.5,8,1,21.0,8,1,14.5,8,1,18.2,8,1,0.0,8,1,19.5,8,1,0.5,0,8,1,21.9,8,1,28.0,8,1,,0,1,4.0,8,1,23.0,8,1,30.0,8,1,,0,1,,0,1,,0,1,9.5,8,1,23.8,8,1,5.0,0,8,1
2020/6/7,ì˙,19.7,8,1,0.0,8,1,21.8,8,1,0.0,8,1,,0,1,0.0,8,1,22.3,8,1,0.0,8,1,23.3,8,1,0.0,8,1,20.3,8,1,0.0,8,1,17.0,8,1,0.0,8,1,18.0,8,1,0.0,0,8,1,20.5,8,1,5.0,8,1,,0,1,0.0,8,1,22.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,23.4,8,1,0.0,0,8,1
2020/6/8,åé,20.1,8,1,0.0,8,1,23.1,8,1,0.0,8,1,,0,1,0.0,8,1,23.2,8,1,0.0,8,1,23.9,8,1,0.0,8,1,21.6,8,1,0.0,8,1,18.1,8,1,0.0,8,1,19.2,8,1,0,1,8,1,21.9,8,1,0.0,8,1,,0,1,0.0,8,1,23.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,24.7,8,1,0,1,8,1
2020/6/9,âŒ,21.0,8,1,0.0,8,1,23.4,8,1,0.0,8,1,,0,1,0.0,8,1,23.3,8,1,0.0,8,1,24.3,8,1,0.0,8,1,21.2,8,1,0.0,8,1,18.9,8,1,0.0,8,1,20.1,8,1,0,1,8,1,24.1,8,1,0.0,8,1,,0,1,0.0,8,1,23.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,24.8,8,1,0,1,8,1
2020/6/10,êÖ,20.7,8,1,0.0,8,1,23.2,8,1,0.0,8,1,,0,1,0.0,8,1,23.1,8,1,1.0,8,1,23.3,8,1,2.5,8,1,21.6,8,1,1.0,8,1,19.4,8,1,3.0,8,1,20.5,8,1,1.0,0,8,1,24.6,8,1,0.0,8,1,,0,1,0.0,8,1,24.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,24.6,8,1,0.0,0,8,1
2020/6/11,ñÿ,20.2,8,1,19.0,8,1,22.6,8,1,6.0,8,1,,0,1,5.5,8,1,22.6,8,1,11.5,8,1,23.1,8,1,65.0,8,1,21.4,8,1,17.5,8,1,19.7,8,1,21.0,8,1,21.0,8,1,12.5,0,8,1,23.2,8,1,9.5,8,1,,0,1,8.0,8,1,23.4,8,1,8.0,8,1,,0,1,,0,1,,0,1,18.0,8,1,24.2,8,1,7.0,0,8,1
2020/6/12,ã‡,21.6,8,1,0.5,8,1,24.4,8,1,0.0,8,1,,0,1,0.0,8,1,23.8,8,1,0.5,8,1,23.6,8,1,2.0,8,1,23.0,8,1,1.0,8,1,20.9,8,1,0.5,8,1,21.9,8,1,0.0,0,8,1,25.3,8,1,23.0,8,1,,0,1,31.0,8,1,25.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,25.9,8,1,0.0,0,8,1
2020/6/13,ìy,19.5,8,1,58.0,8,1,21.5,8,1,30.0,8,1,,0,1,19.0,8,1,22.5,8,1,14.0,8,1,23.2,8,1,14.0,8,1,21.2,8,1,12.5,8,1,19.3,8,1,8.5,8,1,19.9,8,1,14.5,0,8,1,20.9,8,1,13.5,8,1,,0,1,21.0,8,1,22.5,8,1,25.5,8,1,,0,1,,0,1,,0,1,62.0,8,1,23.1,8,1,20.0,0,8,1
2020/6/14,ì˙,19.9,8,1,15.5,8,1,21.1,8,1,27.5,8,1,,0,1,12.5,8,1,21.8,8,1,17.0,8,1,23.8,8,1,5.5,8,1,21.0,8,1,7.0,8,1,19.8,8,1,2.5,8,1,20.5,8,1,4.0,0,8,1,21.1,8,1,3.5,8,1,,0,1,1.0,8,1,22.1,8,1,6.0,8,1,,0,1,,0,1,,0,1,12.5,8,1,22.5,8,1,10.0,0,8,1
2020/6/15,åé,23.9,8,1,0.0,8,1,25.0,8,1,0.0,8,1,,0,1,0.0,8,1,24.7,8,1,0.5,8,1,25.5,8,1,0.0,8,1,23.7,8,1,0.0,8,1,21.4,8,1,0.0,8,1,22.9,8,1,0,1,8,1,24.6,8,1,0.0,8,1,,0,1,0.0,8,1,25.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,26.6,8,1,0.0,0,8,1
2020/6/16,âŒ,22.1,8,1,0.0,8,1,22.8,8,1,0.0,8,1,,0,1,0.0,8,1,22.4,8,1,0.0,8,1,23.1,8,1,0.0,8,1,21.3,8,1,0.0,8,1,18.4,8,1,0.0,8,1,20.4,8,1,0,1,8,1,24.2,8,1,0.0,8,1,,0,1,0.0,8,1,23.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,24.7,8,1,0.0,0,8,1
2020/6/17,êÖ,20.0,8,1,0.0,8,1,22.5,8,1,0.0,8,1,,0,1,0.0,8,1,22.1,8,1,0.0,8,1,23.2,8,1,0.0,8,1,20.1,8,1,0.0,8,1,17.0,8,1,0.0,8,1,18.4,8,1,0,1,8,1,21.8,8,1,0.0,8,1,,0,1,0.0,8,1,23.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,23.8,8,1,0,1,8,1
2020/6/18,ñÿ,16.9,8,1,8.0,8,1,19.6,8,1,6.5,8,1,,0,1,5.5,8,1,19.5,8,1,6.5,8,1,20.2,8,1,9.5,8,1,18.0,8,1,5.5,8,1,15.5,8,1,5.5,8,1,16.3,8,1,8.0,0,8,1,19.0,8,1,4.0,8,1,,0,1,3.0,8,1,20.1,8,1,7.0,8,1,,0,1,,0,1,,0,1,12.5,8,1,21.0,8,1,9.5,0,8,1
2020/6/19,ã‡,15.1,8,1,16.0,8,1,17.3,8,1,14.5,8,1,,0,1,30.5,8,1,17.6,8,1,37.5,8,1,18.3,8,1,43.0,8,1,16.0,8,1,34.5,8,1,13.9,8,1,41.0,8,1,14.3,8,1,42.5,0,8,1,16.6,8,1,38.0,8,1,,0,1,38.0,8,1,17.4,8,1,26.0,8,1,,0,1,,0,1,,0,1,18.0,8,1,18.3,8,1,19.5,0,8,1
2020/6/20,ìy,19.1,8,1,2.5,8,1,21.8,8,1,0.0,8,1,,0,1,0.5,8,1,21.2,8,1,0.0,8,1,21.7,8,1,0.0,8,1,20.3,8,1,0.0,8,1,17.7,8,1,0.0,8,1,18.8,8,1,0,1,8,1,21.6,8,1,0.0,8,1,,0,1,0.0,8,1,22.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,22.8,8,1,0.0,0,8,1
2020/6/21,ì˙,19.7,8,1,0.0,8,1,22.5,8,1,0.0,8,1,,0,1,0.0,8,1,22.9,8,1,0.0,8,1,23.3,8,1,0.0,8,1,20.4,8,1,0.0,8,1,17.7,8,1,0.0,8,1,18.3,8,1,0.0,0,8,1,20.7,8,1,0.0,8,1,,0,1,0.5,8,1,23.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.0,8,1,23.9,8,1,0.0,0,8,1
2020/6/22,åé,16.4,8,1,16.5,8,1,18.6,8,1,16.5,8,1,,0,1,21.5,8,1,18.7,8,1,16.5,8,1,20.1,8,1,16.0,8,1,16.7,8,1,15.5,8,1,14.2,8,1,23.5,8,1,15.0,8,1,22.0,0,8,1,17.3,8,1,19.5,8,1,,0,1,25.5,8,1,18.6,8,1,8.5,8,1,,0,1,,0,1,,0,1,19.5,8,1,19.7,8,1,14.5,0,8,1
2020/6/23,âŒ,20.0,8,1,0.0,8,1,22.4,8,1,3.0,8,1,,0,1,1.0,8,1,22.6,8,1,0.5,8,1,23.0,8,1,0.0,8,1,20.7,8,1,0.5,8,1,17.8,8,1,0.0,8,1,18.9,8,1,0.0,0,8,1,21.2,8,1,0.5,8,1,,0,1,0.0,8,1,22.9,8,1,1.0,8,1,,0,1,,0,1,,0,1,4.0,8,1,23.6,8,1,0.0,0,8,1
2020/6/24,êÖ,20.8,8,1,10.5,8,1,23.5,8,1,1.5,8,1,,0,1,0.0,8,1,24.1,8,1,0.0,8,1,24.3,8,1,0.5,8,1,22.3,8,1,0.0,8,1,18.8,8,1,2.5,8,1,19.8,8,1,0.5,0,8,1,22.3,8,1,0.5,8,1,,0,1,0.0,8,1,24.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,1.0,8,1,25.3,8,1,0.5,0,8,1
2020/6/25,ñÿ,20.8,8,1,3.0,8,1,22.8,8,1,7.5,8,1,,0,1,14.0,8,1,23.0,8,1,13.5,8,1,23.6,8,1,21.5,8,1,22.1,8,1,12.0,8,1,19.8,8,1,27.0,8,1,20.5,8,1,4.5,0,8,1,21.2,8,1,12.0,8,1,,0,1,9.0,8,1,23.7,8,1,3.5,8,1,,0,1,,0,1,,0,1,10.0,8,1,24.0,8,1,7.5,0,8,1
2020/6/26,ã‡,22.4,8,1,0.0,8,1,23.7,8,1,1.5,8,1,,0,1,2.0,8,1,24.6,8,1,0.5,8,1,25.4,8,1,0.0,8,1,23.8,8,1,0.0,8,1,22.8,8,1,0.0,8,1,23.0,8,1,0.0,0,8,1,24.6,8,1,0.0,8,1,,0,1,0.0,8,1,25.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.5,8,1,25.8,8,1,0.0,0,8,1
2020/6/27,ìy,22.8,8,1,0.0,8,1,24.4,8,1,0.0,8,1,,0,1,0.0,8,1,24.6,8,1,0.0,8,1,25.3,8,1,0.0,8,1,23.2,8,1,0.0,8,1,20.8,8,1,0.0,8,1,21.9,8,1,0.0,0,8,1,24.7,8,1,0.0,8,1,,0,1,0.0,8,1,25.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,26.1,8,1,0.0,0,8,1
2020/6/28,ì˙,19.2,8,1,27.0,8,1,20.8,8,1,33.5,8,1,,0,1,21.0,8,1,21.4,8,1,24.5,8,1,22.5,8,1,32.5,8,1,19.7,8,1,26.5,8,1,17.9,8,1,29.5,8,1,18.6,8,1,30.5,0,8,1,20.5,8,1,26.5,8,1,,0,1,22.0,8,1,21.3,8,1,26.0,8,1,,0,1,,0,1,,0,1,28.0,8,1,22.0,8,1,43.0,0,8,1
2020/6/29,åé,20.2,8,1,0.0,8,1,22.4,8,1,0.0,8,1,,0,1,0.0,8,1,22.8,8,1,0.0,8,1,23.9,8,1,0.0,8,1,20.7,8,1,0.0,8,1,17.9,8,1,0.0,8,1,19.0,8,1,0.0,0,8,1,21.3,8,1,0.0,8,1,,0,1,0.0,8,1,23.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,0.0,8,1,23.8,8,1,0,1,8,1
2020/6/30,âŒ,18.8,8,1,34.5,8,1,20.3,8,1,43.5,8,1,,0,1,47.0,8,1,20.6,8,1,53.0,8,1,22.0,8,1,140.0,8,1,19.2,8,1,47.0,8,1,18.7,8,1,89.5,8,1,19.6,8,1,41.5,0,8,1,20.3,8,1,34.5,8,1,,0,1,27.5,8,1,20.8,8,1,35.5,8,1,,0,1,,0,1,,0,1,56.5,8,1,21.5,8,1,40.5,0,8,1
2020/7/1,êÖ,21.1,8,1,24.5,8,1,23.3,8,1,17.5,8,1,,0,1,22.5,8,1,23.2,8,1,34.0,8,1,24.2,8,1,83.5,8,1,21.7,8,1,46.5,8,1,19.7,8,1,70.0,8,1,21.0,8,1,34.0,0,8,1,23.1,8,1,31.0,8,1,,0,1,22.0,8,1,23.5,8,1,29.0,8,1,,0,1,,0,1,,0,1,27.5,8,1,24.4,8,1,17.5,0,8,1
